product_id,product_name,category,category_id,cost,sale_price,supplier,supplier_id,warehouse,images_url
PID_0114,Garmin D2 Mach 1,Computer accessories,CID_10,1000,1199,Garmin Aviation,SID_0363,WH-MAIN,https://m.media-amazon.com/images/I/71pIjzX4+zL._AC_SL1500_.jpg
PID_0115,DJI Matrice 350 RTK,Drones,CID_21,10000,12000,DJI Enterprise,SID_0256,WH-MAIN,https://m.media-amazon.com/images/I/61TcjJ4qDZL._AC_SL1500_.jpg
PID_0116,FLIR ONE Pro,Computer accessories,CID_10,350,429,Flir Systems,SID_0338,WH-MAIN,https://m.media-amazon.com/images/I/6176vtuY8pL._AC_SL1500_.jpg
PID_0117,Teledyne Linea 8K,Computer accessories,CID_10,4000,5000,Teledyne DALSA,SID_0869,WH-MAIN,https://www.edge-ai-vision.com/wp-content/uploads/2022/04/linea-ml-8k-multispectral.jpg
PID_0118,Keysight InfiniiVision 1000X,Computer accessories,CID_10,600,750,Keysight Technologies,SID_0483,WH-MAIN,https://m.media-amazon.com/images/I/51U0hqVRx+L._AC_SL1500_.jpg
PID_0119,Tektronix TBS1000C,Computer accessories,CID_10,500,650,Tektronix,SID_0868,WH-MAIN,https://m.media-amazon.com/images/I/61-lQi1OP9L._AC_SL1500_.jpg
PID_0120,NI myDAQ,Computer accessories,CID_10,200,250,National Instruments,SID_0606,WH-MAIN,https://m.media-amazon.com/images/I/510Pid6NHwL._AC_SL1500_.jpg
PID_0121,TI-84 Plus CE,Computer accessories,CID_10,100,149,Texas Instruments,SID_0874,WH-MAIN,https://m.media-amazon.com/images/I/71Bbi4KovBL._AC_SL1500_.jpg
PID_0122,ADALM-PLUTO SDR,Computer accessories,CID_10,150,200,Analog Devices,SID_0040,WH-MAIN,https://m.media-amazon.com/images/I/51oNT73jVWL._AC_SL1500_.jpg
PID_0123,Broadcom BCM43684 WiFi 6,Computer accessories,CID_10,30,50,Broadcom,SID_0140,WH-MAIN,https://m.media-amazon.com/images/I/51UgYUQRbRL._AC_SL1500_.jpg
PID_0124,Marvell Aquantia AQtion 10G,Computer accessories,CID_10,80,119,Marvell Technology,SID_0550,WH-MAIN,https://m.media-amazon.com/images/I/51FQ7tIzn7L._AC_SL1500_.jpg
PID_0125,NXP i.MX 8M Plus,Computer accessories,CID_10,40,60,NXP Semiconductors,SID_0645,WH-MAIN,https://www.nxp.com/assets/images/en/chip-images/i.MX8M-OG.png
PID_0126,Infineon OPTIGA Trust M,Computer accessories,CID_10,10,25,Infineon Technologies,SID_0441,WH-MAIN,http://www.presseagentur.com/media/5337/OPTIGA-Trust-M-10.jpg
PID_0127,STM32 Nucleo-64,Computer accessories,CID_10,15,25,STMicroelectronics,SID_0834,WH-MAIN,https://m.media-amazon.com/images/I/41CxgBL85WL._AC_SL1500_.jpg
PID_0128,Renesas RA4M2 MCU,Computer accessories,CID_10,5,10,Renesas Electronics,SID_0737,WH-MAIN,https://m.media-amazon.com/images/I/71Q825JVfBL._AC_SL1500_.jpg
PID_0129,Microchip PICkit 4,Computer accessories,CID_10,80,100,Microchip Technology,SID_0567,WH-MAIN,https://m.media-amazon.com/images/I/51CWkUgJqHL._AC_SL1500_.jpg
PID_0130,Silicon Labs EFR32BG22,Computer accessories,CID_10,10,20,Silicon Labs,SID_0796,WH-MAIN,https://www.silabs.com/content/dam/siliconlabs/images/products/Bluetooth/thunderboard/thunderboard-bg22-sltb010a.jpg
PID_0131,Lattice iCE40 UltraPlus,Computer accessories,CID_10,20,35,Lattice Semiconductor,SID_0507,WH-MAIN,https://m.media-amazon.com/images/I/41O2sRvaM8L._AC_SL1500_.jpg
PID_0132,Xilinx Zynq-7000 SoC,Computer accessories,CID_10,150,200,Xilinx (AMD),SID_0980,WH-MAIN,https://m.media-amazon.com/images/I/71PxEew1WrS._AC_SL1500_.jpg
PID_0133,Arm Cortex-M4 IP,Computer accessories,CID_10,10000,15000,Arm Ltd,SID_0067,WH-MAIN,https://m.media-amazon.com/images/I/61FdK6ZZ9tL._AC_SL1500_.jpg
PID_0134,Synopsys Design Compiler,Computer accessories,CID_10,20000,25000,Synopsys,SID_0850,WH-MAIN,https://dmassets.micron.com/is/image/microntechnology/logo-synopsys-color?ts=1727761192161&dpr=off
PID_0135,Cadence Virtuoso,Computer accessories,CID_10,20000,25000,Cadence Design Systems,SID_0148,WH-MAIN,https://www.bisinfotech.com/wp-content/uploads/2016/04/Cadence-Design-Systems.jpg
PID_0136,ANSYS Fluent,Computer accessories,CID_10,15000,20000,Ansys,SID_0045,WH-MAIN,https://m.media-amazon.com/images/I/4194eGc9rSL._AC_SL1500_.jpg
PID_0137,PTC Creo,Computer accessories,CID_10,3000,4000,PTC,SID_0714,WH-MAIN,https://m.media-amazon.com/images/I/61jU7lwVaGL._AC_SL1500_.jpg
PID_0138,SolidWorks Premium,Computer accessories,CID_10,4000,5000,Dassault Systèmes,SID_0234,WH-MAIN,https://solidservicios.com/wp-content/uploads/solidworks-premium-475x300.png
PID_0139,Autodesk AutoCAD 2025,Computer accessories,CID_10,1500,1865,Autodesk,SID_0085,WH-MAIN,https://m.media-amazon.com/images/I/41KGnhAxXBL._AC_SL1500_.jpg
PID_0140,Adobe Creative Cloud All Apps,Computer accessories,CID_10,500,659,Adobe Systems,SID_0012,WH-MAIN,https://m.media-amazon.com/images/I/61FlCZlTBfL._AC_SL1500_.jpg
PID_0141,Symantec Endpoint Security,Computer accessories,CID_10,40,60,Symantec (Broadcom),SID_0847,WH-MAIN,https://m.media-amazon.com/images/I/619CfHgx9ZL._AC_SL1500_.jpg
PID_0142,McAfee Total Protection,Computer accessories,CID_10,30,45,McAfee,SID_0554,WH-MAIN,https://m.media-amazon.com/images/I/61mntBIsNSL._AC_SL1500_.jpg
PID_0143,Trend Micro Maximum Security,Computer accessories,CID_10,35,50,Trend Micro,SID_0898,WH-MAIN,https://m.media-amazon.com/images/I/61wmFZqvDkL._AC_SL1500_.jpg
PID_0144,Palo Alto PA-440,Computer accessories,CID_10,1200,1600,Palo Alto Networks,SID_0670,WH-MAIN,https://m.media-amazon.com/images/I/31AtzFPlXML._AC_SL1500_.jpg
PID_0145,Fortinet FortiGate 60F,Computer accessories,CID_10,600,800,Fortinet,SID_0344,WH-MAIN,https://m.media-amazon.com/images/I/41jEHmqo0zL._AC_SL1500_.jpg
PID_0146,Check Point Quantum 3600,Computer accessories,CID_10,1500,2000,Check Point,SID_0172,WH-MAIN,https://m.media-amazon.com/images/I/71b54k9l0ML._AC_SL1500_.jpg
PID_0147,Trellix Endpoint Security,Computer accessories,CID_10,50,75,FireEye (Trellix),SID_0334,WH-MAIN,https://m.media-amazon.com/images/I/514ElOsdPqL._AC_SL1500_.jpg
PID_0148,CrowdStrike Falcon Pro,Computer accessories,CID_10,60,90,CrowdStrike,SID_0218,WH-MAIN,https://m.media-amazon.com/images/I/71xcmw2uzDL._AC_SL1500_.jpg
PID_0149,Okta Workforce Identity,Computer accessories,CID_10,100,150,Okta,SID_0649,WH-MAIN,https://www.somerfordassociates.com/wp-content/uploads/2023/09/Okta-Workforce-Identity-Management.png
PID_0150,Splunk Enterprise,Computer accessories,CID_10,2000,2500,Splunk,SID_0824,WH-MAIN,https://www.splunk.com/content/dam/splunk2/images/features/SS-UI-Dark-Mode-frame.png
PID_0151,Datadog APM,Computer accessories,CID_10,400,500,Datadog,SID_0237,WH-MAIN,https://m.media-amazon.com/images/I/81KS9AST+kL._AC_SL1500_.jpg
PID_0152,New Relic One,Computer accessories,CID_10,350,450,New Relic,SID_0615,WH-MAIN,https://newrelic.com/sites/default/files/wp_blog_inline_files/lew_2.jpeg
PID_0153,Dynatrace Software Intelligence,Computer accessories,CID_10,1000,1200,Dynatrace,SID_0267,WH-MAIN,https://dt-cdn.net/images/dynatrace-platform-2120-64e8577ef0.png
PID_0154,Jira Software Premium,Computer accessories,CID_10,200,300,Atlassian,SID_0075,WH-MAIN,https://m.media-amazon.com/images/I/61JH-peCoPL._AC_SL1500_.jpg
PID_0155,GitHub Copilot Business,Computer accessories,CID_10,200,228,GitHub,SID_0375,WH-MAIN,https://m.media-amazon.com/images/I/41ju+430bGL._AC_SL1500_.jpg
PID_0156,GitLab Ultimate,Computer accessories,CID_10,1000,1188,GitLab,SID_0376,WH-MAIN,https://www.almtoolbox.com/fr/blog/wp-content/uploads/2024/02/gitlab-premium-ultimate.jpg
PID_0157,Slack Enterprise Grid,Computer accessories,CID_10,150,200,Slack (Salesforce),SID_0807,WH-MAIN,https://www.uctoday.com/wp-content/uploads/2018/11/SlackEnterpriseGridFeatured-800x400.jpg
PID_0158,Zoom Workplace Enterprise,Computer accessories,CID_10,200,250,Zoom,SID_0997,WH-MAIN,https://m.media-amazon.com/images/I/91iQUZ3v6uL._AC_SL1500_.jpg
PID_0159,Twilio Segment,Computer accessories,CID_10,500,600,Twilio,SID_0909,WH-MAIN,https://segment.com/content/dam/segment/global/en/blog/legacy/2023/signal-2023-launch-blog/Twilio-Segment-Product-Predicitons-PR-1200x630_2x.png
PID_0160,SendGrid Pro 100K,Computer accessories,CID_10,100,120,SendGrid (Twilio),SID_0783,WH-MAIN,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/bd000fbb-262e-463f-b98f-038e883f277f.png
PID_0161,Salesforce Sales Cloud,Computer accessories,CID_10,1800,2200,Salesforce,SID_0761,WH-MAIN,https://m.media-amazon.com/images/I/61iPQwwK+QL._AC_SL1500_.jpg
PID_0162,HubSpot Marketing Hub,Computer accessories,CID_10,9600,10000,HubSpot,SID_0426,WH-MAIN,https://appsumo2-cdn.appsumo.com/media/selfsubmissions/images/a9f450a8-c8fb-4a2f-9aaa-9b8536a60daf.png
PID_0163,SAP S/4HANA,Computer accessories,CID_10,50000,60000,SAP,SID_0767,WH-MAIN,https://m.media-amazon.com/images/I/71JtTwgv5OL._AC_SL1500_.jpg
PID_0164,Oracle Autonomous Database,Computer accessories,CID_10,10000,12000,Oracle,SID_0660,WH-MAIN,https://m.media-amazon.com/images/I/61nWPHrdF+L._AC_SL1500_.jpg
PID_0165,IBM Watson Studio,Computer accessories,CID_10,3000,4000,IBM,SID_0431,WH-MAIN,https://businessoverbroadway.com/wp-content/uploads/2018/07/IBM-Watson-IOT.jpg
PID_0166,ServiceNow ITSM Pro,Computer accessories,CID_10,1200,1500,ServiceNow,SID_0787,WH-MAIN,https://m.media-amazon.com/images/I/81DSeZqaypL._AC_SL1500_.jpg
PID_0167,Workday HCM,Computer accessories,CID_10,10000,15000,Workday,SID_0971,WH-MAIN,https://m.media-amazon.com/images/I/819Jt6zovYL._AC_SL1500_.jpg
PID_0168,Snowflake Data Cloud,Computer accessories,CID_10,5000,6000,Snowflake,SID_0812,WH-MAIN,https://m.media-amazon.com/images/I/81HhLR0tP3L._AC_SL1500_.jpg
PID_0169,VMware vSphere Standard,Computer accessories,CID_10,1000,1200,VMware (Broadcom),SID_0945,WH-MAIN,https://m.media-amazon.com/images/I/51RMRiOk2mL._AC_SL1500_.jpg
PID_0170,Red Hat Enterprise Linux,Computer accessories,CID_10,300,349,Red Hat (IBM),SID_0732,WH-MAIN,https://m.media-amazon.com/images/I/61uxqlVE5ML._AC_SL1500_.jpg
PID_0171,Ubuntu Pro,Computer accessories,CID_10,200,225,Canonical,SID_0159,WH-MAIN,https://m.media-amazon.com/images/I/71gTQ7OGD0L._AC_SL1500_.jpg
PID_0172,SUSE Linux Enterprise Server,Computer accessories,CID_10,350,400,SUSE,SID_0841,WH-MAIN,https://m.media-amazon.com/images/I/91VBRzCVvmL._AC_SL1500_.jpg
PID_0173,Docker Business,Computer accessories,CID_10,200,288,Docker,SID_0257,WH-MAIN,https://m.media-amazon.com/images/I/41TDB-mSQYL._AC_SL1500_.jpg
PID_0174,HashiCorp Terraform Cloud,Computer accessories,CID_10,500,600,HashiCorp,SID_0399,WH-MAIN,https://m.media-amazon.com/images/I/71JLtzAcGbL._AC_SL1500_.jpg
PID_0175,Elastic Observability,Computer accessories,CID_10,1500,2000,Elastic,SID_0282,WH-MAIN,https://m.media-amazon.com/images/I/717crNmiWPL._AC_SL1500_.jpg
PID_0176,MongoDB Atlas Pro,Computer accessories,CID_10,1000,1200,MongoDB,SID_0584,WH-MAIN,https://m.media-amazon.com/images/I/51afheVAaRL._AC_SL1500_.jpg
PID_0177,Couchbase Capella,Computer accessories,CID_10,800,1000,Couchbase,SID_0212,WH-MAIN,https://m.media-amazon.com/images/I/712XU5B8AyL._AC_SL1500_.jpg
PID_0178,Redis Enterprise,Computer accessories,CID_10,1200,1500,Redis,SID_0733,WH-MAIN,https://redis.io/wp-content/uploads/2023/04/redis-enterprise-for-caching-solution-brief-url-preview-1200x628-2.png
PID_0179,Confluent Cloud,Computer accessories,CID_10,2000,2500,Confluent,SID_0197,WH-MAIN,https://cdn.confluent.io/wp-content/uploads/17-new-ga-connectors-1024x506.jpg
PID_0180,Databricks Lakehouse Platform,Computer accessories,CID_10,5000,6000,Databricks,SID_0236,WH-MAIN,https://m.media-amazon.com/images/I/61PXafCjRsL._AC_SL1500_.jpg
PID_0181,Cloudera Data Platform,Computer accessories,CID_10,8000,10000,Cloudera,SID_0186,WH-MAIN,https://m.media-amazon.com/images/I/817eF+DvD1L._AC_SL1500_.jpg
PID_0182,Teradata VantageCloud,Computer accessories,CID_10,15000,20000,Teradata,SID_0871,WH-MAIN,https://m.media-amazon.com/images/I/71w6hsL0NHL._AC_SL1500_.jpg
PID_0183,Nutanix Cloud Infrastructure,Computer accessories,CID_10,2500,3000,Nutanix,SID_0641,WH-MAIN,https://www.nutanixbible.com/imagesv2/products_ncp.png
PID_0184,Pure Storage FlashArray,Storage devices,CID_14,20000,25000,Pure Storage,SID_0719,WH-MAIN,https://static2.purestorage.com/content/dam/purestorage/Test/UAT/ComponentLibrary/flasharray-x.png.imgo.png
PID_0185,NetApp AFF A-Series,Computer accessories,CID_10,25000,30000,NetApp,SID_0611,WH-MAIN,https://sc04.alicdn.com/kf/H07c8e47bd13b4897a49205b5036ce76ct/257509771/H07c8e47bd13b4897a49205b5036ce76ct.jpg
PID_0186,Hitachi VSP E Series,Computer accessories,CID_10,30000,35000,Hitachi Vantara,SID_0410,WH-MAIN,https://sc04.alicdn.com/kf/Hacc2d8503f5545989345989be9aaa0d8t/257509771/Hacc2d8503f5545989345989be9aaa0d8t.jpg
PID_0187,F5 BIG-IP i2000,Computer accessories,CID_10,15000,18000,F5 Networks,SID_0315,WH-MAIN,https://m.media-amazon.com/images/I/41QLHfkQTEL._AC_SL1500_.jpg
PID_0188,Juniper EX4100 Switch,Computer accessories,CID_10,2500,3200,Juniper Networks,SID_0472,WH-MAIN,https://m.media-amazon.com/images/I/51QRprJgozL._AC_SL1500_.jpg
PID_0189,Arista 7050X3 Switch,Computer accessories,CID_10,8000,10000,Arista Networks,SID_0063,WH-MAIN,https://cdn.cs.1worldsync.com/02/d8/02d8b0f2-fb34-462e-a0f9-78bab244575d.jpg
PID_0190,ExtremeSwitching 5520,Computer accessories,CID_10,3000,4000,Extreme Networks,SID_0312,WH-MAIN,https://m.media-amazon.com/images/I/71LzjVIeeRL._AC_SL1500_.jpg
PID_0191,RUCKUS R750 Wi-Fi 6 AP,Computer accessories,CID_10,800,1100,CommScope,SID_0196,WH-MAIN,https://m.media-amazon.com/images/I/61PKXm++c9L._AC_SL1500_.jpg
PID_0192,Corning ClearCurve Fiber,Computer accessories,CID_10,100,150,Corning,SID_0205,WH-MAIN,https://m.media-amazon.com/images/I/51Gv-9k+EvL._AC_SL1500_.jpg
PID_0193,Amphenol QSFP-DD Cable,Cables,CID_17,100,150,Amphenol,SID_0038,WH-MAIN,https://m.media-amazon.com/images/I/61SJroMjszL._AC_SL1500_.jpg
PID_0194,TE RJ45 Connector Jack,Computer accessories,CID_10,1,3,TE Connectivity,SID_0864,WH-MAIN,https://m.media-amazon.com/images/I/61mEyYgIiJL._AC_SL1500_.jpg
PID_0195,Molex Micro-Fit 3.0 Header,Computer accessories,CID_10,1,2,Molex,SID_0582,WH-MAIN,https://m.media-amazon.com/images/I/61Qiu+Y9VVL._AC_SL1500_.jpg
PID_0196,Jabil PKG Custom Board,Computer accessories,CID_10,50,80,Jabil,SID_0463,WH-MAIN,https://m.media-amazon.com/images/I/412xrY-JKjL._AC_SL1500_.jpg
PID_0197,Flex Power Module,Computer accessories,CID_10,100,150,Flex,SID_0337,WH-MAIN,https://m.media-amazon.com/images/I/71uyOf5KROL._AC_SL1500_.jpg
PID_0198,Sanmina PCB Assembly,Computer accessories,CID_10,80,120,Sanmina,SID_0765,WH-MAIN,https://www.sanmina.com/wp-content/uploads/2019/07/pcb_landing_top_banner.jpg
PID_0199,ViewSonic ColorPro VP2786-4K,Computer accessories,CID_10,800,999,ViewSonic Corporation,SID_0937,WH-MAIN,https://m.media-amazon.com/images/I/81HxYe8hmlL._AC_SL1500_.jpg
PID_0200,BenQ Mobiuz EX3210U,Computer accessories,CID_10,900,1099,BenQ Corporation,SID_0111,WH-MAIN,https://m.media-amazon.com/images/I/718XoB++3-L._AC_SL1500_.jpg
